tanggal,komoditi,satuan,harga
2020-01-21,"Bawang Putih Impor, Kating",Kg,39600
2020-01-22,"Bawang Putih Impor, Kating",Kg,38600
2020-01-23,"Bawang Putih Impor, Kating",Kg,40500
2020-01-24,"Bawang Putih Impor, Kating",Kg,38600
2020-01-27,"Bawang Putih Impor, Kating",Kg,38600
2020-01-28,"Bawang Putih Impor, Kating",Kg,38600
2020-01-29,"Bawang Putih Impor, Kating",Kg,38600
2020-01-30,"Bawang Putih Impor, Kating",Kg,38600
2020-01-31,"Bawang Putih Impor, Kating",Kg,38600
2020-01-02,"Bawang Putih Impor, Honan",Kg,31000
2020-01-03,"Bawang Putih Impor, Honan",Kg,31667
2020-01-06,"Bawang Putih Impor, Honan",Kg,32667
2020-01-07,"Bawang Putih Impor, Honan",Kg,32667
2020-01-08,"Bawang Putih Impor, Honan",Kg,32333
2020-01-09,"Bawang Putih Impor, Honan",Kg,33167
2020-01-10,"Bawang Putih Impor, Honan",Kg,32333
2020-01-13,"Bawang Putih Impor, Honan",Kg,37333
2020-01-14,"Bawang Putih Impor, Honan",Kg,31667
2020-01-15,"Bawang Putih Impor, Honan",Kg,33500
2020-01-16,"Bawang Putih Impor, Honan",Kg,33000
2020-01-17,"Bawang Putih Impor, Honan",Kg,33833
2020-01-20,"Bawang Putih Impor, Honan",Kg,33000
2020-01-21,"Bawang Putih Impor, Honan",Kg,33833
2020-01-22,"Bawang Putih Impor, Honan",Kg,31333
2020-01-23,"Bawang Putih Impor, Honan",Kg,34500
2020-01-24,"Bawang Putih Impor, Honan",Kg,33000
2020-01-27,"Bawang Putih Impor, Honan",Kg,33000
2020-01-28,"Bawang Putih Impor, Honan",Kg,33000
2020-01-29,"Bawang Putih Impor, Honan",Kg,33000
2020-01-30,"Bawang Putih Impor, Honan",Kg,33000
2020-01-31,"Bawang Putih Impor, Honan",Kg,33000
2020-01-02,Ikan Teri Asin,Kg,122600
2020-01-03,Ikan Teri Asin,Kg,125600
2020-01-06,Ikan Teri Asin,Kg,114100
2020-01-07,Ikan Teri Asin,Kg,116600
2020-01-08,Ikan Teri Asin,Kg,108100
2020-01-09,Ikan Teri Asin,Kg,108100
2020-01-10,Ikan Teri Asin,Kg,116000
2020-01-13,Ikan Teri Asin,Kg,110500
2020-01-14,Ikan Teri Asin,Kg,105800
2020-01-15,Ikan Teri Asin,Kg,107300
2020-01-16,Ikan Teri Asin,Kg,109000
2020-01-17,Ikan Teri Asin,Kg,112300
2020-01-20,Ikan Teri Asin,Kg,112500
2020-01-21,Ikan Teri Asin,Kg,114000
2020-01-22,Ikan Teri Asin,Kg,114300
2020-01-23,Ikan Teri Asin,Kg,106000
2020-01-24,Ikan Teri Asin,Kg,112000
2020-01-27,Ikan Teri Asin,Kg,112000
2020-01-28,Ikan Teri Asin,Kg,112000
2020-01-29,Ikan Teri Asin,Kg,112000
2020-01-30,Ikan Teri Asin,Kg,112000
2020-01-31,Ikan Teri Asin,Kg,112000
2020-01-02,Ikan Kembung,Kg,40000
2020-01-03,Ikan Kembung,Kg,40000
2020-01-06,Ikan Kembung,Kg,40000
2020-01-07,Ikan Kembung,Kg,39500
2020-01-08,Ikan Kembung,Kg,40600
2020-01-09,Ikan Kembung,Kg,39600
2020-01-10,Ikan Kembung,Kg,40500
2020-01-13,Ikan Kembung,Kg,33900
2020-01-14,Ikan Kembung,Kg,40000
2020-01-15,Ikan Kembung,Kg,40000
2020-01-16,Ikan Kembung,Kg,38000
2020-01-17,Ikan Kembung,Kg,40000
2020-01-20,Ikan Kembung,Kg,40100
2020-01-21,Ikan Kembung,Kg,38900
2020-01-22,Ikan Kembung,Kg,39500
2020-01-23,Ikan Kembung,Kg,39100
2020-01-24,Ikan Kembung,Kg,40500
2020-01-27,Ikan Kembung,Kg,40500
2020-01-28,Ikan Kembung,Kg,40500
2020-01-29,Ikan Kembung,Kg,40500
2020-01-30,Ikan Kembung,Kg,40500
2020-01-31,Ikan Kembung,Kg,40500
2020-01-02,Kacang Hijau,Kg,23900
2020-01-03,Kacang Hijau,Kg,24100
2020-01-06,Kacang Hijau,Kg,23700
2020-01-07,Kacang Hijau,Kg,23500
2020-01-08,Kacang Hijau,Kg,23100
2020-01-09,Kacang Hijau,Kg,23900
2020-01-10,Kacang Hijau,Kg,23600
2020-01-13,Kacang Hijau,Kg,23100
2020-01-14,Kacang Hijau,Kg,22800
2020-01-15,Kacang Hijau,Kg,23800
2020-01-16,Kacang Hijau,Kg,22800
2020-01-17,Kacang Hijau,Kg,23600
2020-01-20,Kacang Hijau,Kg,22900
2020-01-21,Kacang Hijau,Kg,23900
2020-01-22,Kacang Hijau,Kg,22800
2020-01-23,Kacang Hijau,Kg,24500
2020-01-24,Kacang Hijau,Kg,23100
2020-01-27,Kacang Hijau,Kg,23100
2020-01-28,Kacang Hijau,Kg,23100
2020-01-29,Kacang Hijau,Kg,23100
2020-01-30,Kacang Hijau,Kg,23100
2020-01-31,Kacang Hijau,Kg,23100
2020-01-02,Kacang Tanah,Kg,26200
2020-01-03,Kacang Tanah,Kg,27300
2020-01-06,Kacang Tanah,Kg,27000
2020-01-07,Kacang Tanah,Kg,27000
2020-01-08,Kacang Tanah,Kg,27000
2020-01-09,Kacang Tanah,Kg,28100
2020-01-10,Kacang Tanah,Kg,26500
2020-01-13,Kacang Tanah,Kg,27200
2020-01-14,Kacang Tanah,Kg,25900
2020-01-15,Kacang Tanah,Kg,27400
2020-01-16,Kacang Tanah,Kg,25600
2020-01-17,Kacang Tanah,Kg,27300
2020-01-20,Kacang Tanah,Kg,26900
2020-01-21,Kacang Tanah,Kg,26500
2020-01-22,Kacang Tanah,Kg,26300
2020-01-23,Kacang Tanah,Kg,28600
2020-01-24,Kacang Tanah,Kg,26000
2020-01-27,Kacang Tanah,Kg,26000
2020-01-28,Kacang Tanah,Kg,26000
2020-01-29,Kacang Tanah,Kg,26000
2020-01-30,Kacang Tanah,Kg,26000
2020-01-31,Kacang Tanah,Kg,26000
2020-01-02,Ketela Pohon,Kg,5400
2020-01-03,Ketela Pohon,Kg,5400
2020-01-06,Ketela Pohon,Kg,5400
2020-01-07,Ketela Pohon,Kg,5400
2020-01-08,Ketela Pohon,Kg,5600
2020-01-09,Ketela Pohon,Kg,5600
2020-01-10,Ketela Pohon,Kg,5400
2020-01-13,Ketela Pohon,Kg,5800
2020-01-14,Ketela Pohon,Kg,5400
2020-01-15,Ketela Pohon,Kg,5400
2020-01-16,Ketela Pohon,Kg,5600
2020-01-17,Ketela Pohon,Kg,5800
2020-01-20,Ketela Pohon,Kg,5400
2020-01-21,Ketela Pohon,Kg,5800
2020-01-22,Ketela Pohon,Kg,5400
2020-01-23,Ketela Pohon,Kg,5400
2020-01-24,Ketela Pohon,Kg,5600
2020-01-27,Ketela Pohon,Kg,5600
2020-01-28,Ketela Pohon,Kg,5600
2020-01-29,Ketela Pohon,Kg,5600
2020-01-30,Ketela Pohon,Kg,5600
2020-01-31,Ketela Pohon,Kg,5600
